Graph Size,Start Node,trial,Distance,Parent
20,11,4,{ 22 17 15 7 32 3 21 16 14 35 21 0 8 29 25 23 26 20 26 44 },{  [1] [3] [5] [11] [1 10] [11] [2] [3] [3] [0] [1] [] [5] [6] [6] [7] [7] [8] [8] [9] }
20,11,5,{ 22 17 15 7 32 3 21 16 14 35 21 0 8 29 25 23 26 20 26 44 },{  [1] [3] [5] [11] [1 10] [11] [2] [3] [3] [0] [1] [] [5] [6] [6] [7] [7] [8] [8] [9] }
20,12,1,{ 25 25 17 15 39 5 23 24 22 38 28 8 0 31 27 31 34 28 34 47 },{  [2] [3] [5] [11] [10] [12] [2] [3] [3] [0] [2] [5] [] [6] [6] [7] [7] [8] [8] [9] }
20,12,2,{ 25 25 17 15 39 5 23 24 22 38 28 8 0 31 27 31 34 28 34 47 },{  [2] [3] [5] [11] [10] [12] [2] [3] [3] [0] [2] [5] [] [6] [6] [7] [7] [8] [8] [9] }
20,12,3,{ 25 25 17 15 39 5 23 24 22 38 28 8 0 31 27 31 34 28 34 47 },{  [2] [3] [5] [11] [10] [12] [2] [3] [3] [0] [2] [5] [] [6] [6] [7] [7] [8] [8] [9] }
20,12,4,{ 25 25 17 15 39 5 23 24 22 38 28 8 0 31 27 31 34 28 34 47 },{  [2] [3] [5] [11] [10] [12] [2] [3] [3] [0] [2] [5] [] [6] [6] [7] [7] [8] [8] [9] }
20,12,5,{ 25 25 17 15 39 5 23 24 22 38 28 8 0 31 27 31 34 28 34 47 },{  [2] [3] [5] [11] [10] [12] [2] [3] [3] [0] [2] [5] [] [6] [6] [7] [7] [8] [8] [9] }
20,13,1,{ 22 27 14 36 36 26 8 45 43 35 25 29 31 0 12 52 55 49 55 44 },{  [2] [0] [6] [11] [10] [2] [13] [3] [3] [0] [2] [5] [5] [] [6] [7] [7] [8] [8] [9] }
20,13,2,{ 22 27 14 36 36 26 8 45 43 35 25 29 31 0 12 52 55 49 55 44 },{  [2] [0] [6] [11] [10] [2] [13] [3] [3] [0] [2] [5] [5] [] [6] [7] [7] [8] [8] [9] }
20,13,3,{ 22 27 14 36 36 26 8 45 43 35 25 29 31 0 12 52 55 49 55 44 },{  [2] [0] [6] [11] [10] [2] [13] [3] [3] [0] [2] [5] [5] [] [6] [7] [7] [8] [8] [9] }
20,13,4,{ 22 27 14 36 36 26 8 45 43 35 25 29 31 0 12 52 55 49 55 44 },{  [2] [0] [6] [11] [10] [2] [13] [3] [3] [0] [2] [5] [5] [] [6] [7] [7] [8] [8] [9] }
20,13,5,{ 22 27 14 36 36 26 8 45 43 35 25 29 31 0 12 52 55 49 55 44 },{  [2] [0] [6] [11] [10] [2] [13] [3] [3] [0] [2] [5] [5] [] [6] [7] [7] [8] [8] [9] }
20,14,1,{ 18 23 10 32 32 22 4 41 39 31 21 25 27 12 0 48 51 45 51 40 },{  [2] [0] [6] [11] [10] [2] [14] [3] [3] [0] [2] [5] [5] [6] [] [7] [7] [8] [8] [9] }
20,14,2,{ 18 23 10 32 32 22 4 41 39 31 21 25 27 12 0 48 51 45 51 40 },{  [2] [0] [6] [11] [10] [2] [14] [3] [3] [0] [2] [5] [5] [6] [] [7] [7] [8] [8] [9] }
20,14,3,{ 18 23 10 32 32 22 4 41 39 31 21 25 27 12 0 48 51 45 51 40 },{  [2] [0] [6] [11] [10] [2] [14] [3] [3] [0] [2] [5] [5] [6] [] [7] [7] [8] [8] [9] }
20,14,4,{ 18 23 10 32 32 22 4 41 39 31 21 25 27 12 0 48 51 45 51 40 },{  [2] [0] [6] [11] [10] [2] [14] [3] [3] [0] [2] [5] [5] [6] [] [7] [7] [8] [8] [9] }
20,14,5,{ 18 23 10 32 32 22 4 41 39 31 21 25 27 12 0 48 51 45 51 40 },{  [2] [0] [6] [11] [10] [2] [14] [3] [3] [0] [2] [5] [5] [6] [] [7] [7] [8] [8] [9] }
20,15,1,{ 31 26 38 16 41 26 44 7 23 44 30 23 31 52 48 0 17 29 35 53 },{  [1] [3] [5] [7] [1 10] [11] [2] [15] [3] [0] [1] [3] [5] [6] [6] [] [7] [8] [8] [9] }
20,15,2,{ 31 26 38 16 41 26 44 7 23 44 30 23 31 52 48 0 17 29 35 53 },{  [1] [3] [5] [7] [1 10] [11] [2] [15] [3] [0] [1] [3] [5] [6] [6] [] [7] [8] [8] [9] }
20,15,3,{ 31 26 38 16 41 26 44 7 23 44 30 23 31 52 48 0 17 29 35 53 },{  [1] [3] [5] [7] [1 10] [11] [2] [15] [3] [0] [1] [3] [5] [6] [6] [] [7] [8] [8] [9] }
20,15,4,{ 31 26 38 16 41 26 44 7 23 44 30 23 31 52 48 0 17 29 35 53 },{  [1] [3] [5] [7] [1 10] [11] [2] [15] [3] [0] [1] [3] [5] [6] [6] [] [7] [8] [8] [9] }
20,15,5,{ 31 26 38 16 41 26 44 7 23 44 30 23 31 52 48 0 17 29 35 53 },{  [1] [3] [5] [7] [1 10] [11] [2] [15] [3] [0] [1] [3] [5] [6] [6] [] [7] [8] [8] [9] }
20,16,1,{ 34 29 41 19 44 29 47 10 26 47 33 26 34 55 51 17 0 32 38 56 },{  [1] [3] [5] [7] [1 10] [11] [2] [16] [3] [0] [1] [3] [5] [6] [6] [7] [] [8] [8] [9] }
20,16,2,{ 34 29 41 19 44 29 47 10 26 47 33 26 34 55 51 17 0 32 38 56 },{  [1] [3] [5] [7] [1 10] [11] [2] [16] [3] [0] [1] [3] [5] [6] [6] [7] [] [8] [8] [9] }
20,16,3,{ 34 29 41 19 44 29 47 10 26 47 33 26 34 55 51 17 0 32 38 56 },{  [1] [3] [5] [7] [1 10] [11] [2] [16] [3] [0] [1] [3] [5] [6] [6] [7] [] [8] [8] [9] }
20,16,4,{ 34 29 41 19 44 29 47 10 26 47 33 26 34 55 51 17 0 32 38 56 },{  [1] [3] [5] [7] [1 10] [11] [2] [16] [3] [0] [1] [3] [5] [6] [6] [7] [] [8] [8] [9] }
20,16,5,{ 34 29 41 19 44 29 47 10 26 47 33 26 34 55 51 17 0 32 38 56 },{  [1] [3] [5] [7] [1 10] [11] [2] [16] [3] [0] [1] [3] [5] [6] [6] [7] [] [8] [8] [9] }
20,17,1,{ 28 23 35 13 38 23 41 22 6 41 27 20 28 49 45 29 32 0 18 50 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [17] [0] [1] [3] [5] [6] [6] [7] [7] [] [8] [9] }
20,17,2,{ 28 23 35 13 38 23 41 22 6 41 27 20 28 49 45 29 32 0 18 50 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [17] [0] [1] [3] [5] [6] [6] [7] [7] [] [8] [9] }
20,17,3,{ 28 23 35 13 38 23 41 22 6 41 27 20 28 49 45 29 32 0 18 50 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [17] [0] [1] [3] [5] [6] [6] [7] [7] [] [8] [9] }
20,17,4,{ 28 23 35 13 38 23 41 22 6 41 27 20 28 49 45 29 32 0 18 50 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [17] [0] [1] [3] [5] [6] [6] [7] [7] [] [8] [9] }
20,17,5,{ 28 23 35 13 38 23 41 22 6 41 27 20 28 49 45 29 32 0 18 50 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [17] [0] [1] [3] [5] [6] [6] [7] [7] [] [8] [9] }
20,18,1,{ 34 29 41 19 44 29 47 28 12 47 33 26 34 55 51 35 38 18 0 56 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [18] [0] [1] [3] [5] [6] [6] [7] [7] [8] [] [9] }
20,18,2,{ 34 29 41 19 44 29 47 28 12 47 33 26 34 55 51 35 38 18 0 56 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [18] [0] [1] [3] [5] [6] [6] [7] [7] [8] [] [9] }
20,18,3,{ 34 29 41 19 44 29 47 28 12 47 33 26 34 55 51 35 38 18 0 56 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [18] [0] [1] [3] [5] [6] [6] [7] [7] [8] [] [9] }
20,18,4,{ 34 29 41 19 44 29 47 28 12 47 33 26 34 55 51 35 38 18 0 56 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [18] [0] [1] [3] [5] [6] [6] [7] [7] [8] [] [9] }
20,18,5,{ 34 29 41 19 44 29 47 28 12 47 33 26 34 55 51 35 38 18 0 56 },{  [1] [3] [5] [8] [1 10] [11] [2] [3] [18] [0] [1] [3] [5] [6] [6] [7] [7] [8] [] [9] }
20,19,1,{ 22 27 30 37 23 42 36 46 44 9 31 44 47 44 40 53 56 50 56 0 },{  [9] [0] [0] [1] [9] [2] [2] [3] [3] [19] [1] [3] [5] [6] [6] [7] [7] [8] [8] [] }
20,19,2,{ 22 27 30 37 23 42 36 46 44 9 31 44 47 44 40 53 56 50 56 0 },{  [9] [0] [0] [1] [9] [2] [2] [3] [3] [19] [1] [3] [5] [6] [6] [7] [7] [8] [8] [] }
20,19,3,{ 22 27 30 37 23 42 36 46 44 9 31 44 47 44 40 53 56 50 56 0 },{  [9] [0] [0] [1] [9] [2] [2] [3] [3] [19] [1] [3] [5] [6] [6] [7] [7] [8] [8] [] }
20,19,4,{ 22 27 30 37 23 42 36 46 44 9 31 44 47 44 40 53 56 50 56 0 },{  [9] [0] [0] [1] [9] [2] [2] [3] [3] [19] [1] [3] [5] [6] [6] [7] [7] [8] [8] [] }
20,19,5,{ 22 27 30 37 23 42 36 46 44 9 31 44 47 44 40 53 56 50 56 0 },{  [9] [0] [0] [1] [9] [2] [2] [3] [3] [19] [1] [3] [5] [6] [6] [7] [7] [8] [8] [] }
